afcd_code,name,kcal_per_100g,protein_g_per_100g,fat_g_per_100g,carbs_g_per_100g,fibre_g_per_100g
F001152,"Biscuit, savoury, rice cracker, plain",388.6,7.0,4.3,78.8,0.9
F009833,"Biscuit, savoury, rice cracker, added vegetable powder",394.6,6.6,7.4,73.8,2.0
F001147,"Biscuit, savoury, rice cake, from brown rice, plain",383.1,8.8,3.5,76.3,3.5
F001151,"Biscuit, savoury, rice cracker, flavoured (excluding seaweed)",393.4,7.1,6.7,74.1,1.5
F001153,"Biscuit, savoury, rice cracker, seaweed flavoured",358.5,9.6,1.2,75.3,1.6
F001118,"Biscuit, savoury, from rye flour, crispbread",324.1,8.8,1.3,60.6,16.5
F009832,"Biscuit, savoury, seed based",572.4,20.1,49.6,6.0,14.6
F001123,"Biscuit, savoury, from white wheat flour, flaky cracker style",494.0,11.5,20.7,63.6,3.0
F001126,"Biscuit, savoury, from white wheat flour, plain snack cracker style",491.9,8.1,20.7,66.3,3.4
F001129,"Biscuit, savoury, from white wheat flour, Salada style",426.6,9.2,14.2,63.1,3.6
F001133,"Biscuit, savoury, from white wheat flour, water cracker style",394.4,10.4,7.2,69.4,3.7
F001122,"Biscuit, savoury, from white wheat flour, cheese-flavoured",498.6,12.0,24.2,56.4,2.9
F010958,"Biscuit, savoury, from white wheat flour, flavoured (excluding cheese)",501.4,9.6,24.5,59.7,2.0
F001137,"Biscuit, savoury, from wholemeal wheat flour, crispbread",374.5,10.6,8.1,59.1,9.9
F001135,"Biscuit, savoury, from wholemeal wheat flour & rye flour, crispbread, puffed",385.0,14.0,3.8,69.1,7.6
F001120,"Biscuit, savoury, from wheat flour, crispbread, puffed & toasted",373.6,12.3,5.6,66.1,3.3
F001164,"Biscuit, sweet, Anzac style, commercial",463.7,5.8,22.1,60.3,3.8
F001165,"Biscuit, sweet, Anzac style, homemade from basic ingredients",474.9,4.6,22.6,64.0,3.1
F001195,"Biscuit, sweet, ginger flavoured, commercial",423.5,4.8,10.6,77.7,1.9
F001215,"Biscuit, sweet, plain",446.5,6.4,15.8,69.4,2.1
F001227,"Biscuit, sweet, plain, with icing, commercial",425.9,4.6,11.2,77.5,1.7
F001244,"Biscuit, sweet, shortbread style, commercial",504.3,6.2,26.3,60.8,2.3
F001251,"Biscuit, sweet, wheatmeal",413.0,7.8,11.7,67.0,5.6
F001167,"Biscuit, sweet, biscuit base, caramel filling, chocolate-coated, commercial",440.5,5.6,19.7,61.8,1.8
F001168,"Biscuit, sweet, biscuit base, mint filling, chocolate-coated",522.9,6.3,29.4,60.6,0.6
F001170,"Biscuit, sweet, chocolate chip or coated",473.0,5.8,22.7,61.9,3.0
F001174,"Biscuit, sweet, chocolate chip, homemade from basic ingredients, fat not further defined",473.5,5.1,21.7,66.0,1.0
F001182,"Biscuit, sweet, chocolate flavoured, commercial",467.0,6.2,17.2,72.4,1.9
F009834,"Biscuit, sweet, cream filled, commercial",464.6,5.4,21.5,62.8,2.7
F001233,"Biscuit, sweet, sandwich, cream & jam filling",471.8,4.0,22.5,64.1,1.8
F001234,"Biscuit, sweet, sandwich, cream filling, chocolate-coated, tim tam style",497.1,5.4,25.4,63.1,2.2
F009839,"Biscuit, sweet, breakfast style, with or without dried fruit",437.4,7.5,15.6,64.6,6.4
F003095,"Cone, wafer style, for ice cream",401.8,9.1,4.0,79.7,3.2
F001401,"Bread, flat (pita or Lebanese), white, commercial",263.4,9.5,2.1,49.1,3.7
F001404,"Bread, flat (pita or Lebanese), wholemeal, commercial",256.7,8.6,2.0,47.2,6.4
F001647,"Bread, Naan, commercial",292.5,8.0,7.1,47.8,2.6
F001669,"Bread, tortilla, white, commercial",301.9,7.3,9.0,46.3,2.0
F001415,"Bread, wrap, white, commercial",302.6,7.8,8.4,46.9,3.0
F009854,"Bread, flat wrap or tortilla, corn, commercial",238.8,4.8,3.2,44.8,5.0
F001683,"Breadcrumbs, white",381.9,14.0,4.1,68.5,4.7
F000233,"Bagel, from white flour, commercial",265.1,10.4,1.4,50.7,3.1
F000234,"Bagel, from white flour, commercial, toasted",301.1,11.8,1.6,57.6,3.5
F001387,"Bread, damper, from white flour, homemade",259.1,7.5,5.5,42.9,3.3
F009904,"Bread, damper, homemade, toasted",304.7,8.8,6.5,50.5,3.9
F001463,"Bread, from white flour",251.0,9.5,2.0,46.2,3.2
F001541,"Bread, from white flour, toasted",296.6,10.8,2.8,54.3,4.3
F001528,"Bread, from white flour, Italian-style, commercial",255.7,9.0,2.5,46.8,3.9
F001529,"Bread, from white flour, Italian-style, commercial, toasted",304.5,10.7,3.0,55.7,4.6
F001671,"Bread, from white flour, Turkish",247.4,7.8,2.8,45.5,3.6
F001672,"Bread, from white flour, Turkish, toasted",294.7,9.2,3.3,54.2,4.3
F001537,"Bread, from white flour, sour dough, commercial",229.7,8.8,1.4,42.9,3.1
F001538,"Bread, from white flour, sour dough, toasted",273.4,10.4,1.7,51.1,3.7
F001545,"Bread, organic",247.1,11.6,2.9,40.3,5.6
F001548,"Bread, organic, toasted",290.6,13.7,3.4,47.4,6.6
F001653,"Bread, pizza base, commercial",265.1,8.6,3.3,48.5,2.7
F001353,"Bread roll, from white flour",249.5,9.3,2.9,44.6,3.0
F001553,"Bread, from wholemeal flour",237.3,10.4,2.5,39.2,6.9
F001597,"Bread, from wholemeal flour, toasted",279.2,12.2,2.9,46.1,8.1
F001360,"Bread roll, from wholemeal flour",261.7,10.1,3.0,45.2,5.8
F001621,"Bread, mixed grain",257.6,10.7,4.5,39.8,5.8
F001644,"Bread, mixed grain, toasted",303.1,12.6,5.3,46.8,6.9
F001365,"Bread roll, mixed grain",250.0,12.2,3.0,40.3,5.6
F001450,"Bread, from rye flour, sour dough",234.2,9.2,1.6,42.7,5.2
F001451,"Bread, from rye flour, sour dough, toasted",275.6,10.8,1.9,50.2,6.1
F001468,"Bread, from white flour, added fibre",246.7,9.7,1.7,43.6,6.4
F001479,"Bread, from white flour, added fibre, toasted",293.7,11.5,2.0,51.9,7.7
F001484,"Bread, from white flour, added omega-3 polyunsaturates",251.9,9.1,2.1,46.6,3.1
F001485,"Bread, from white flour, added omega-3 polyunsaturates, toasted",293.0,10.6,2.4,54.2,3.6
F001543,"Bread, from white Jackaroo flour, added fibre and vitamins B1 & folate & Fe",251.4,8.3,2.3,45.7,6.5
F001544,"Bread, from white Jackaroo flour, added fibre and vitamins B1 & folate & Fe, toasted",295.9,9.8,2.7,53.8,7.6
F001603,"Bread, gluten free",212.2,5.5,3.9,36.6,3.9
F001609,"Bread, gluten free, toasted",252.6,6.5,4.6,43.6,4.6
F001600,"Bread, garlic, commercial, baked",344.6,8.0,15.1,42.8,3.0
F001601,"Bread, garlic or herb, homemade, cooked",307.1,8.8,11.4,40.5,3.6
F001372,"Bread roll, topped with cheese",280.4,12.4,9.0,35.8,2.4
F001373,"Bread roll, topped with cheese & bacon",280.4,16.6,11.2,27.0,1.8
F010407,"Bread, brioche",323.4,9.5,10.6,46.5,2.4
F001457,"Bread, from white flour, commercial, added dried fruit",265.8,8.8,3.7,47.3,3.6
F001458,"Bread, from white wheat flour, added dried fruit, toasted",295.4,9.8,4.1,52.6,4.0
F009792,"Bun, sweet, hot cross bun, with dried fruit",264.8,7.2,3.2,50.2,4.1
F001940,"Bun, sweet, with dried fruit, uniced",295.4,6.5,5.0,55.2,3.0
F001939,"Bun, sweet, with dried fruit, iced",289.2,6.4,6.1,51.8,1.9
F003313,"Crumpet, from white flour, toasted",222.3,7.1,1.2,43.3,3.0
F005896,"Muffin, English style, from white flour",224.2,10.1,2.1,38.7,3.2
F005898,"Muffin, English style, from white flour, toasted",243.5,11.0,2.3,42.1,3.4
F005897,"Muffin, English style, from white flour, added dried fruit, toasted",252.2,9.7,2.0,46.4,3.6
F001688,"Breakfast cereal, beverage, non-chocolate flavours, added vitamins & minerals (Up & Go)",76.7,3.1,1.5,12.4,0.8
F001708,"Breakfast cereal, flakes of corn, unfortified",372.4,7.3,2.9,75.6,4.6
F001701,"Breakfast cereal, flakes of corn, added vitamins & minerals (Kellogg's Cornflakes)",388.4,7.9,1.8,81.8,3.8
F001788,"Breakfast cereal, mixed grain (wheat, rice & oat), flakes, honey, unfortified (Be Natural Honey Flakes)",355.6,8.4,4.1,65.0,12.5
F001720,"Breakfast cereal, mixed grain (rice & wheat), flakes, added vitamins & minerals (Kellogg's Special K)",398.9,18.2,4.1,70.5,2.7
F001767,"Breakfast cereal, mixed grain (wheat, oat & corn), added vitamins & minerals (Kellogg's Nutri-grain)",370.7,23.3,2.5,62.8,2.5
F001733,"Breakfast cereal, mixed grain (wheat & oat), flakes, apricot & sultana, added vitamins & minerals (Kellogg's Just Right)",351.8,9.1,1.5,71.6,8.2
F001811,"Breakfast cereal, puffed or popped rice, no added sugar or salt, unfortified",383.4,8.5,3.0,77.6,2.3
F001803,"Breakfast cereal, puffed or popped rice, added vitamins & minerals (Kellogg's Rice Bubbles)",370.2,6.8,1.1,81.2,0.9
F001807,"Breakfast cereal, puffed or popped rice, cocoa coating, added vitamins & minerals (Kellogg's Coco Pops)",384.8,5.3,2.9,83.2,1.9
F001871,"Breakfast cereal, whole wheat, puffed, no added sugar or salt, unfortified",338.0,10.0,2.8,62.4,9.2
F001849,"Breakfast cereal, whole wheat, biscuit, no added sugar, unfortified",348.9,10.4,2.7,63.7,11.5
F001829,"Breakfast cereal, wheat bran, pellets, added vitamins & minerals (Kellogg's All Bran)",322.2,14.2,5.0,41.7,27.3
